luminosity = 2262
channels = 37
sample = zinv

channel                   =     bin1     bin2     bin3     bin4     bin5     bin6     bin7     bin8     bin9    bin10    bin11    bin12    bin13    bin14    bin15    bin16    bin17    bin18    bin19    bin20    bin21    bin22    bin23    bin24    bin25    bin26    bin27    bin28    bin29    bin30    bin31    bin32    bin33    bin34    bin35    bin36    bin37

rate                      =  7.78637  2.81114  1.40786  0.78289  2.59296  2.99700  2.03329  1.19116  0.46439  1.73715  4.12691  1.85464  0.75005  0.37946  0.20057  0.67784  0.71375  0.46262  0.32049  0.47421  0.94245  1.62588  0.47565  0.23678  1.07715  0.80594  0.62446  0.26831  1.47278  0.37179  0.15009  0.05826  0.30138  0.25919  0.11523  0.08757  0.34128

cs_event                  =     4157     1613      886      535     1569     1662     1151      806      368      950     2824      949      345      210      139      345      391      272      193      304      666      153       78      119      499      203       86      420      308      286      143      803       91       45       15       93       69
avg_weight                =  0.00187  0.00174  0.00159  0.00146  0.00165  0.00180  0.00177  0.00148  0.00126  0.00183  0.00146  0.00195  0.00217  0.00181  0.00144  0.00196  0.00183  0.00170  0.00166  0.00156  0.00142  0.01063  0.00610  0.00199  0.00216  0.00397  0.00726  0.00064  0.00478  0.00130  0.00105  0.00007  0.00331  0.00576  0.00768  0.00094  0.00495

stat_unc_up = xxx yy zz
stat_unc_dn = xxx yy zz

syst_unc_norm_up          =  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035
syst_unc_norm_dn          =  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035  0.18035
