luminosity = 2262
channels = 45
sample = zinv

channel                   =     bin1     bin2     bin3     bin4     bin5     bin6     bin7     bin8     bin9    bin10    bin11    bin12    bin13    bin14    bin15    bin16    bin17    bin18    bin19    bin20    bin21    bin22    bin23    bin24    bin25    bin26    bin27    bin28    bin29    bin30    bin31    bin32    bin33    bin34    bin35    bin36    bin37    bin38    bin39    bin40    bin41    bin42    bin43    bin44    bin45

rate                      =  8.29891  3.03308  1.47797  0.81337  2.79968  3.22369  2.18430  1.24018  0.50786  1.83990  4.35992  1.97989  0.77674  0.38074  0.21366  0.71053  0.78142  0.50394  0.32858  0.51552  0.98212  1.21241  0.35664  0.17032  0.85865  0.63771  0.48498  0.21789  1.29828  0.26104  0.10023  0.04097  0.21904  0.18115  0.08790  0.05886  0.27099  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000

cs_event                  =     3900     1569      859      511     1474     1579     1125      769      349      924     2771      933      353      203      132      338      385      267      188      295      650      137       78      104      424      187       76      366      250      248      121      721       77       43       13       80       62       51       29      138       28       32       64       25        1
avg_weight                =  0.00213  0.00193  0.00172  0.00159  0.00190  0.00204  0.00194  0.00161  0.00146  0.00199  0.00157  0.00212  0.00220  0.00188  0.00162  0.00210  0.00203  0.00189  0.00175  0.00175  0.00151  0.00885  0.00457  0.00164  0.00203  0.00341  0.00638  0.00060  0.00519  0.00105  0.00083  0.00006  0.00284  0.00421  0.00676  0.00074  0.00437  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000

stat_unc_up = xxx yy zz
stat_unc_dn = xxx yy zz

syst_unc_norm_up          =  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640
syst_unc_norm_dn          =  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640  0.12640
